"Step","run - val_sparse_accuracy","run - val_sparse_accuracy__MIN","run - val_sparse_accuracy__MAX"
"1312","19.1","19.1","19.1"
"1314","19.2","19.2","19.2"
"1316","19","19","19"
"1318","19.2","19.2","19.2"
"1320","19.1","19.1","19.1"
"1322","19","19","19"
"1324","19.2","19.2","19.2"
"1326","19.2","19.2","19.2"
"1328","19.1","19.1","19.1"
"1330","19.3","19.3","19.3"
"1332","19.4","19.4","19.4"
"1334","19.4","19.4","19.4"
"1336","19.2","19.2","19.2"
"1338","19.3","19.3","19.3"
"1340","19.5","19.5","19.5"
"1342","20.2","20.2","20.2"
"1344","20.1","20.1","20.1"
"1346","20","20","20"
"1348","19.8","19.8","19.8"
"1350","19.8","19.8","19.8"
"1352","20.2","20.2","20.2"
"1354","20.5","20.5","20.5"
"1356","20.9","20.9","20.9"
"1358","20.3","20.3","20.3"
"1360","20.8","20.8","20.8"
"1362","20.8","20.8","20.8"
"1364","21","21","21"
"1366","21","21","21"
"1368","21.1","21.1","21.1"
"1370","21.2","21.2","21.2"
"1372","21.3","21.3","21.3"
"1374","21.3","21.3","21.3"
"1376","22","22","22"
"1378","22.1","22.1","22.1"
"1380","22.3","22.3","22.3"
"1382","22.3","22.3","22.3"
"1384","22.3","22.3","22.3"
"1386","22.4","22.4","22.4"
"1388","22.6","22.6","22.6"
"1390","22.6","22.6","22.6"
"1392","22.5","22.5","22.5"
"1394","22.5","22.5","22.5"
"1396","22.4","22.4","22.4"
"1398","22.5","22.5","22.5"
"1400","22.7","22.7","22.7"
"1402","22.7","22.7","22.7"
"1404","22.8","22.8","22.8"
"1406","22.9","22.9","22.9"
"1408","23.2","23.2","23.2"
"1410","23.2","23.2","23.2"
"1412","23","23","23"
"1414","23","23","23"
"1416","22.9","22.9","22.9"
"1418","23.2","23.2","23.2"
"1420","23.1","23.1","23.1"
"1422","23","23","23"
"1424","23.1","23.1","23.1"
"1426","23.3","23.3","23.3"
"1428","23.3","23.3","23.3"
"1430","23.3","23.3","23.3"
"1432","23.3","23.3","23.3"
"1434","23.5","23.5","23.5"
"1436","23.5","23.5","23.5"
"1438","23.6","23.6","23.6"
"1440","23.7","23.7","23.7"
"1442","24","24","24"
"1444","24.1","24.1","24.1"
"1446","24.1","24.1","24.1"
"1448","24.4","24.4","24.4"
"1450","24.7","24.7","24.7"
"1452","24.7","24.7","24.7"
"1454","24.4","24.4","24.4"
"1456","24.6","24.6","24.6"
"1458","24.4","24.4","24.4"
"1460","24.6","24.6","24.6"
"1462","24.7","24.7","24.7"
"1464","24.6","24.6","24.6"
"1466","24.9","24.9","24.9"
"1468","24.9","24.9","24.9"
"1470","25","25","25"
"1472","25.2","25.2","25.2"
"1474","25.5","25.5","25.5"
"1476","25.8","25.8","25.8"
"1478","26","26","26"
"1480","25.7","25.7","25.7"
"1482","26.2","26.2","26.2"
"1484","25.6","25.6","25.6"
"1486","25.6","25.6","25.6"
"1488","26.4","26.4","26.4"
"1490","26","26","26"
"1492","26.7","26.7","26.7"
"1494","26.4","26.4","26.4"
"1496","27","27","27"
"1498","27.2","27.2","27.2"
"1500","27.1","27.1","27.1"
"1502","27.5","27.5","27.5"
"1504","27.9","27.9","27.9"
"1506","28.1","28.1","28.1"
"1508","27.9","27.9","27.9"
"1510","27.8","27.8","27.8"
"1512","28.4","28.4","28.4"
"1514","28.1","28.1","28.1"
"1516","28.5","28.5","28.5"
"1518","28.5","28.5","28.5"
"1520","28.6","28.6","28.6"
"1522","28.5","28.5","28.5"
"1524","28.8","28.8","28.8"
"1526","28.8","28.8","28.8"
"1528","28.9","28.9","28.9"
"1530","28.7","28.7","28.7"
"1532","29.2","29.2","29.2"
"1534","29.3","29.3","29.3"
"1536","29.2","29.2","29.2"
"1538","29.4","29.4","29.4"
"1540","29.5","29.5","29.5"
"1542","29.7","29.7","29.7"
